Burkina Faso,GDP growth (annual %),8.661861605,5.373373126,3.894548057,6.302096059
Burkina Faso,GDP (current US$),5462709498,8979966766,10419303761,12322864245
Bangladesh,"Personal remittances, received (% of GDP)",6.685179339,9.412125648,7.840701094,5.405263404
Bangladesh,"Personal remittances, received (current US$)",4642385284,10850211617,15295536095,13498232549
Bangladesh,GDP growth (annual %),6.535944941,5.571802274,6.552652796,7.284184092
Bangladesh,GDP (current US$),69442943089,1.15E+11,1.95E+11,2.50E+11
Bulgaria,"Personal remittances, received (% of GDP)",5.442295881,2.633685965,2.977491731,3.767697202
Bulgaria,"Personal remittances, received (current US$)",1612912427,1332910000,1494740000,2193590000
Bulgaria,GDP growth (annual %),7.123511076,1.324087801,3.471186041,3.811248158
Bulgaria,GDP (current US$),29636617750,50610058210,50201314895,58220973783
Bahrain,"Personal remittances, received (% of GDP)",,,,
Bahrain,"Personal remittances, received (current US$)",,,,
Bahrain,GDP growth (annual %),6.768939709,4.334407088,2.861967825,3.803522262
Bahrain,GDP (current US$),15968726862,25713271277,31125851064,35432686170
Bahamas,"Personal remittances, received (% of GDP)",,,,
Bahamas,"Personal remittances, received (current US$)",,,,
Bahamas,GDP growth (annual %),3.395355597,1.538777407,1.044959524,1.437191339
Bahamas,GDP (current US$),9836200000,10095760000,11792300000,12162100000
Bosnia and Herzegovina,"Personal remittances, received (% of GDP)",18.15682427,10.60911711,11.11005999,11.15404436
Bosnia and Herzegovina,"Personal remittances, received (current US$)",2037731948,1822304847,1801111958,2016664396
Bosnia and Herzegovina,GDP growth (annual %),8.7592567,0.872151023,3.088223761,3.163559487
Bosnia and Herzegovina,GDP (current US$),11222953519,17176781337,16211541253,18080118128
Belarus,"Personal remittances, received (% of GDP)",0.657451154,0.980651372,1.649994478,2.291025039
Belarus,"Personal remittances, received (current US$)",198600000,575300000,931500000,1253800000
Belarus,GDP growth (annual %),9.400001524,7.798266823,-3.829570558,2.5321835
Belarus,GDP (current US$),30207567317,58665088956,56454734397,54726595249
Belize,"Personal remittances, received (% of GDP)",4.011238067,5.594100112,4.808173214,4.843433881
Belize,"Personal remittances, received (current US$)",44693322.84,78134569.59,84744074.54,90214516.3
Belize,GDP growth (annual %),2.578008809,3.383471706,3.431950484,1.437288946
Belize,GDP (current US$),1114202700,1396731700,1762500450,1862614800
Bermuda,"Personal remittances, received (% of GDP)",,21.95899879,,
Bermuda,"Personal remittances, received (current US$)",,1261415801,1445391572,1505955305
Bermuda,GDP growth (annual %),1.674207149,-2.094113534,,
Bermuda,GDP (current US$),4868136000,5744414000,,
Bolivia (Plurinational State of),"Personal remittances, received (% of GDP)",3.529556061,4.886670517,3.608942542,3.753793537
Bolivia (Plurinational State of),"Personal remittances, received (current US$)",337040056.7,960212746.8,1190958194,1407996989
Bolivia (Plurinational State of),GDP growth (annual %),4.421434767,4.126719369,4.857188015,4.195209367
Bolivia (Plurinational State of),GDP (current US$),9549077869,19649631451,33000198263,37508642258
