Year,"Major area, region, country or area of destination",0-4,9-May,14-Oct, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total,0-4,9-May,14-Oct, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total,0-4,9-May,14-Oct, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
2005,Southern Africa,"38,054","44,482","50,440","80,786","133,998","169,488","171,446","155,069","136,497","119,305","101,107","82,065","63,769","43,911","19,601","29,408","1,439,426","18,655","22,032","25,868","43,497","76,014","100,656","106,018","97,805","85,909","73,894","61,040","46,223","33,666","21,880","9,620","14,294","837,071","19,399","22,450","24,572","37,289","57,984","68,832","65,428","57,264","50,588","45,411","40,067","35,842","30,103","22,031","9,981","15,114","602,355"
2005,Botswana,"7,874","6,797","4,862","4,218","5,149","9,713","12,602","11,146","8,926","6,357","4,222","2,641","1,743","1,070",641,868,"88,829","3,812","3,305","2,376","2,076","2,581","5,102","7,280","6,748","5,617","4,115","2,672","1,616","1,028",582,311,474,"49,695","4,062","3,492","2,486","2,142","2,568","4,611","5,322","4,398","3,309","2,242","1,550","1,025",715,488,330,394,"39,134"
2005,Lesotho,344,318,249,373,572,791,799,721,613,485,353,262,161,104,72,73,"6,290",174,160,126,193,304,420,424,399,347,271,190,148,111,59,41,35,"3,402",170,158,123,180,268,371,375,322,266,214,163,114,50,45,31,38,"2,888"
2005,Namibia,"5,014","6,360","6,678","7,343","13,617","11,519","8,841","7,807","6,913","6,369","5,741","4,557","4,154","3,681","3,079","4,601","106,274","2,531","3,165","3,421","4,077","7,920","6,500","4,799","4,315","3,743","3,395","3,099","2,445","2,207","1,907","1,464","2,046","57,034","2,483","3,195","3,257","3,266","5,697","5,019","4,042","3,492","3,170","2,974","2,642","2,112","1,947","1,774","1,615","2,555","49,240"
2005,South Africa,"23,094","29,502","37,243","67,315","112,042","144,205","146,411","132,832","117,891","104,206","89,235","73,461","56,794","38,326","15,318","23,061","1,210,936","11,228","14,625","19,230","36,370","63,815","86,798","91,880","84,830","74,941","65,040","54,201","41,406","29,849","18,994","7,592","11,420","712,219","11,866","14,877","18,013","30,945","48,227","57,407","54,531","48,002","42,950","39,166","35,034","32,055","26,945","19,332","7,726","11,641","498,717"
2005,Swaziland,"1,728","1,505","1,408","1,537","2,618","3,260","2,793","2,563","2,154","1,888","1,556","1,144",917,730,491,805,"27,097",910,777,715,781,"1,394","1,836","1,635","1,513","1,261","1,073",878,608,471,338,212,319,"14,721",818,728,693,756,"1,224","1,424","1,158","1,050",893,815,678,536,446,392,279,486,"12,376"
2005,Western Africa,"523,920","490,144","490,433","494,189","531,252","605,415","594,922","513,085","404,702","302,942","221,672","162,345","112,958","78,350","49,797","39,708","5,616,321","261,581","239,736","237,835","233,432","252,026","305,125","321,948","296,343","248,302","194,632","146,100","107,552","73,956","51,266","31,425","22,845","3,024,367","262,339","250,408","252,598","260,757","279,226","300,290","272,974","216,742","156,400","108,310","75,572","54,793","39,002","27,084","18,372","16,863","2,591,954"
2005,Benin,"21,511","14,499","12,269","11,698","15,963","20,268","20,585","15,857","12,031","8,810","5,732","4,512","2,588","2,248","1,444","1,484","171,499","10,957","7,050","5,792","5,654","8,345","10,983","11,948","9,390","7,393","5,549","3,605","2,954","1,525","1,201",808,728,"93,882","10,554","7,449","6,477","6,044","7,618","9,285","8,637","6,467","4,638","3,261","2,127","1,558","1,063","1,047",636,756,"77,617"
2005,Burkina Faso,"39,306","106,596","93,848","95,755","75,410","61,019","43,412","29,102","18,423","12,011","7,641","4,693","3,715","2,158","1,799","2,084","596,972","19,711","54,368","47,965","44,599","33,767","27,377","20,632","13,712","8,505","5,339","3,398","2,030","1,599",971,751,818,"285,542","19,595","52,228","45,883","51,156","41,643","33,642","22,780","15,390","9,918","6,672","4,243","2,663","2,116","1,187","1,048","1,266","311,430"
2005,Cabo Verde,260,441,606,806,"1,184","1,603","1,771","1,831","1,416","1,101",629,341,245,200,152,114,"12,700",131,222,310,418,632,879,953,927,701,548,342,183,118,72,55,32,"6,523",129,219,296,388,552,724,818,904,715,553,287,158,127,128,97,82,"6,177"
2005,Côte d'Ivoire,"78,958","70,574","74,280","100,626","179,165","265,414","286,656","251,140","202,100","157,414","117,219","86,091","59,014","43,777","25,812","12,584","2,010,824","31,154","26,054","27,049","39,386","78,223","130,480","155,670","148,016","128,163","106,089","82,434","61,669","42,049","31,018","17,848","8,288","1,113,590","47,804","44,520","47,231","61,240","100,942","134,934","130,986","103,124","73,937","51,325","34,785","24,422","16,965","12,759","7,964","4,296","897,234"
2005,Gambia,"17,673","15,821","14,339","18,648","20,998","23,512","20,004","14,281","10,884","7,916","6,249","4,242","3,394","1,621",926,"1,397","181,905","8,442","7,234","6,265","8,339","10,355","12,886","11,205","7,924","6,406","5,145","4,308","2,901","2,322","1,030",589,879,"96,230","9,231","8,587","8,074","10,309","10,643","10,626","8,799","6,357","4,478","2,771","1,941","1,341","1,072",591,337,518,"85,675"
2005,Ghana,"37,578","38,526","35,677","34,579","28,822","26,372","21,160","17,644","14,623","11,364","9,442","7,338","6,904","5,305","4,308","4,794","304,436","19,647","19,819","18,136","17,484","14,508","13,326","10,726","9,116","7,831","6,260","5,310","4,189","4,082","3,301","2,666","2,962","159,363","17,931","18,707","17,541","17,095","14,314","13,046","10,434","8,528","6,792","5,104","4,132","3,149","2,822","2,004","1,642","1,832","145,073"
2005,Guinea,"24,111","26,757","31,402","27,092","23,281","20,274","16,948","13,719","11,301","9,236","7,935","7,299","4,325","2,328","1,665","1,938","229,611","11,960","13,549","15,809","12,933","10,507","9,168","7,977","6,813","5,858","4,808","4,063","3,645","1,994","1,065",733,856,"111,738","12,151","13,208","15,593","14,159","12,774","11,106","8,971","6,906","5,443","4,428","3,872","3,654","2,331","1,263",932,"1,082","117,873"
2005,Guinea-Bissau,"3,058","2,764","2,105","1,987","1,905","1,853","1,599","1,422","1,106",855,578,476,411,287,143,187,"20,736","1,564","1,427","1,079",975,832,845,784,736,581,448,298,240,206,138,66,79,"10,298","1,494","1,337","1,026","1,012","1,073","1,008",815,686,525,407,280,236,205,149,77,108,"10,438"
2005,Liberia,"7,417","9,892","10,229","7,169","8,431","10,516","8,446","7,614","5,601","4,021","2,810","1,757","1,340",859,446,640,"87,188","3,570","4,715","4,673","3,515","4,699","6,703","5,714","5,326","3,966","2,902","2,014","1,229",916,573,284,384,"51,183","3,847","5,177","5,556","3,654","3,732","3,813","2,732","2,288","1,635","1,119",796,528,424,286,162,256,"36,005"
2005,Mali,"17,424","27,971","40,976","39,451","30,300","22,788","18,654","14,832","11,371","8,416","6,377","5,071","4,108","3,253","2,429","3,376","256,797","9,022","14,630","21,672","20,724","15,473","11,292","9,170","7,417","5,832","4,336","3,248","2,548","2,073","1,677","1,297","1,833","132,244","8,402","13,341","19,304","18,727","14,827","11,496","9,484","7,415","5,539","4,080","3,129","2,523","2,035","1,576","1,132","1,543","124,553"
2005,Mauritania,"6,331","6,163","5,516","4,651","4,504","5,383","6,203","5,803","4,433","3,038","2,055","1,456","1,047",714,470,352,"58,119","3,239","3,127","2,656","2,289","2,337","3,010","3,720","3,633","2,834","1,954","1,315",923,654,435,271,191,"32,588","3,092","3,036","2,860","2,362","2,167","2,373","2,483","2,170","1,599","1,084",740,533,393,279,199,161,"25,531"
2005,Niger,"15,999","14,229","11,915","12,020","12,436","11,573","10,347","9,499","8,366","5,299","3,838","3,552","2,260","1,315",761,"1,052","124,461","7,572","6,716","5,377","4,941","5,581","5,589","4,795","4,792","4,661","2,849","1,730","1,572","1,188",870,442,495,"59,170","8,427","7,513","6,538","7,079","6,855","5,984","5,552","4,707","3,705","2,450","2,108","1,980","1,072",445,319,557,"65,291"
2005,Nigeria,"207,490","98,725","93,044","76,233","62,716","68,920","83,214","83,385","66,839","46,508","30,837","20,381","13,255","8,372","5,413","3,962","969,294","112,773","53,445","50,054","41,177","34,088","38,317","48,543","51,980","44,340","32,227","21,799","14,404","9,262","5,747","3,623","2,605","564,384","94,717","45,280","42,990","35,056","28,628","30,603","34,671","31,405","22,499","14,281","9,038","5,977","3,993","2,625","1,790","1,357","404,910"
2005,Saint Helena,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,487,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,263,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,224
2005,Senegal,"11,405","16,698","21,833","28,127","31,097","28,801","24,378","19,541","15,734","11,911","9,547","7,703","4,813","2,281","1,922","2,507","238,298","5,905","9,357","12,071","14,467","15,264","13,959","11,963","10,106","8,725","6,888","5,658","4,684","2,774","1,119",864,"1,050","124,854","5,500","7,341","9,762","13,660","15,833","14,842","12,415","9,435","7,009","5,023","3,889","3,019","2,039","1,162","1,058","1,457","113,444"
2005,Sierra Leone,"12,729","16,974","17,554","12,303","14,469","18,046","14,493","13,067","9,611","6,901","4,823","3,016","2,301","1,474",765,"1,089","149,615","5,074","6,683","6,839","5,256","7,271","10,692","9,224","8,655","6,458","4,741","3,286","1,996","1,482",921,452,608,"79,638","7,655","10,291","10,715","7,047","7,198","7,354","5,269","4,412","3,153","2,160","1,537","1,020",819,553,313,481,"69,977"
2005,Togo,"22,670","23,514","24,840","23,044","20,571","19,073","17,052","14,348","10,863","8,141","5,960","4,417","3,238","2,158","1,342","2,148","203,379","10,860","11,340","12,088","11,275","10,144","9,619","8,924","7,800","6,048","4,549","3,292","2,385","1,712","1,128",676,"1,037","102,877","11,810","12,174","12,752","11,769","10,427","9,454","8,128","6,548","4,815","3,592","2,668","2,032","1,526","1,030",666,"1,111","100,502"
2005,ASIA,"2,315,522","2,301,539","2,389,120","2,897,353","4,507,649","5,942,447","5,993,731","5,479,422","4,752,794","3,829,089","3,095,035","2,477,209","1,985,818","1,577,526","1,367,110","2,332,366","53,243,730","1,194,781","1,186,147","1,230,792","1,497,236","2,401,892","3,381,858","3,516,741","3,225,946","2,788,259","2,229,182","1,744,462","1,327,269","1,008,978","761,562","618,197","1,030,991","29,144,293","1,120,741","1,115,392","1,158,328","1,400,117","2,105,757","2,560,589","2,476,990","2,253,476","1,964,535","1,599,907","1,350,573","1,149,940","976,840","815,964","748,913","1,301,375","24,099,437"
2005,Central Asia,"85,164","152,359","186,897","241,576","355,531","377,860","378,505","386,282","404,721","417,347","416,124","402,399","379,888","365,557","337,403","351,086","5,238,699","42,218","76,766","93,271","119,109","174,078","184,639","182,304","187,390","200,213","206,340","202,264","186,259","167,721","149,386","118,413","117,838","2,408,209","42,946","75,593","93,626","122,467","181,453","193,221","196,201","198,892","204,508","211,007","213,860","216,140","212,167","216,171","218,990","233,248","2,830,490"
2005,Kazakhstan,"54,796","101,220","119,388","160,780","253,547","258,798","247,026","238,532","238,719","240,154","238,753","232,290","211,188","195,199","160,962","151,610","3,102,962","26,980","49,784","58,509","78,856","125,531","129,815","122,571","120,517","125,461","126,993","123,710","112,242","96,993","80,809","50,531","44,139","1,473,441","27,816","51,436","60,879","81,924","128,016","128,983","124,455","118,015","113,258","113,161","115,043","120,048","114,195","114,390","110,431","107,471","1,629,521"
2005,Kyrgyzstan,"4,100","6,796","11,556","13,909","19,243","20,911","21,611","22,440","26,431","27,382","25,087","22,010","21,748","19,914","19,856","29,903","312,897","2,062","3,529","5,835","6,833","8,795","9,142","9,475","9,886","11,489","11,745","10,602","9,009","8,850","7,713","6,724","7,855","129,544","2,038","3,267","5,721","7,076","10,448","11,769","12,136","12,554","14,942","15,637","14,485","13,001","12,898","12,201","13,132","22,048","183,353"
2005,Tajikistan,"3,986","4,965","7,495","9,286","11,806","14,230","16,148","18,869","21,781","24,934","26,888","26,690","25,574","23,724","21,690","22,378","280,444","2,052","2,536","3,809","4,570","5,606","6,544","7,268","8,403","9,650","10,981","11,683","11,299","10,428","9,390","8,452","8,710","121,381","1,934","2,429","3,686","4,716","6,200","7,686","8,880","10,466","12,131","13,953","15,205","15,391","15,146","14,334","13,238","13,668","159,063"
2005,Turkmenistan,"3,311","6,057","6,962","8,218","10,258","11,962","12,937","15,117","16,683","17,894","17,236","16,164","16,169","16,760","17,841","19,482","213,051","1,640","3,195","3,582","4,082","4,894","5,526","5,876","6,832","7,518","8,032","7,655","7,075","7,019","6,976","7,110","7,394","94,406","1,671","2,862","3,380","4,136","5,364","6,436","7,061","8,285","9,165","9,862","9,581","9,089","9,150","9,784","10,731","12,088","118,645"
2005,Uzbekistan,"18,971","33,321","41,496","49,383","60,677","71,959","80,783","91,324","101,107","106,983","108,160","105,245","105,209","109,960","117,054","127,713","1,329,345","9,484","17,722","21,536","24,768","29,252","33,612","37,114","41,752","46,095","48,589","48,614","46,634","44,431","44,498","45,596","49,740","589,437","9,487","15,599","19,960","24,615","31,425","38,347","43,669","49,572","55,012","58,394","59,546","58,611","60,778","65,462","71,458","77,973","739,908"
2005,Eastern Asia,"134,965","155,353","190,697","246,789","520,060","637,915","640,889","620,392","560,166","476,069","442,925","369,529","327,667","273,720","230,718","401,670","6,229,524","70,853","80,927","99,371","122,865","235,237","286,817","283,763","260,987","238,971","229,672","223,178","194,275","173,385","142,915","114,893","173,222","2,931,331","64,112","74,426","91,326","123,924","284,823","351,098","357,126","359,405","321,195","246,397","219,747","175,254","154,282","130,805","115,825","228,448","3,298,193"
2005,China,"40,940","36,197","36,792","43,292","53,757","64,053","68,242","66,241","58,919","48,816","40,537","34,371","30,185","22,638","13,583","20,384","678,947","23,245","20,403","20,843","24,161","28,867","33,642","36,334","36,349","33,439","28,384","23,779","19,969","17,568","13,176","7,906","11,855","379,920","17,695","15,794","15,949","19,131","24,890","30,411","31,908","29,892","25,480","20,432","16,758","14,402","12,617","9,462","5,677","8,529","299,027"
2005,"China, Hong Kong SAR","17,746","43,873","81,930","89,190","122,993","172,675","195,913","221,040","237,701","223,024","237,176","205,270","206,501","186,507","171,136","308,560","2,721,235","9,157","22,795","42,690","45,354","47,746","53,300","61,139","68,351","85,517","104,325","115,892","105,562","108,995","98,104","85,824","130,370","1,185,121","8,589","21,078","39,240","43,836","75,247","119,375","134,774","152,689","152,184","118,699","121,284","99,708","97,506","88,403","85,312","178,190","1,536,114"
2005,"China, Macao SAR","1,639","3,033","6,255","9,164","19,932","24,672","26,980","32,985","33,861","32,481","27,078","19,554","13,556","8,406","7,395","12,317","279,308",905,"1,612","3,092","4,427","9,330","11,003","11,943","13,538","14,760","16,292","14,137","10,307","7,071","4,180","3,325","4,465","130,387",734,"1,421","3,163","4,737","10,602","13,669","15,037","19,447","19,101","16,189","12,941","9,247","6,485","4,226","4,070","7,852","148,921"
2005,Dem. People's Republic of Korea,"2,164","1,794","1,884","2,377","3,081","3,794","4,196","4,169","3,743","3,110","2,575","2,167","1,895","1,320",880,948,"40,097","1,094",896,955,"1,183","1,458","1,739","1,954","2,019","1,893","1,622","1,359","1,130",988,612,408,439,"19,749","1,070",898,929,"1,194","1,623","2,055","2,242","2,150","1,850","1,488","1,216","1,037",907,708,472,509,"20,348"
2005,Japan,"66,299","65,172","58,501","88,798","242,511","278,836","261,216","230,764","185,559","134,359","108,766","89,757","65,075","48,177","33,939","55,187","2,012,916","33,415","32,674","29,191","42,833","107,535","127,729","116,471","98,789","81,646","60,115","52,220","45,931","32,511","23,258","15,751","24,475","924,544","32,884","32,498","29,310","45,965","134,976","151,107","144,745","131,975","103,913","74,244","56,546","43,826","32,564","24,919","18,188","30,712","1,088,372"
2005,Mongolia,331,346,305,382,"1,101","1,259","1,228","1,502","1,628","1,387",862,560,255,135,102,92,"11,475",156,160,142,193,634,820,872,"1,121","1,225","1,015",601,357,148,65,42,25,"7,576",175,186,163,189,467,439,356,381,403,372,261,203,107,70,60,67,"3,899"
2005,Republic of Korea,"5,846","4,938","5,030","13,586","76,685","92,626","83,114","63,691","38,755","32,892","25,931","17,850","10,200","6,537","3,683","4,182","485,546","2,881","2,387","2,458","4,714","39,667","58,584","55,050","40,820","20,491","17,919","15,190","11,019","6,104","3,520","1,637","1,593","284,034","2,965","2,551","2,572","8,872","37,018","34,042","28,064","22,871","18,264","14,973","10,741","6,831","4,096","3,017","2,046","2,589","201,512"
2005,Southern Asia,"303,090","379,664","485,713","713,218","1,030,223","1,345,950","1,393,004","1,351,593","1,355,594","1,160,818","972,704","815,479","623,102","469,642","383,487","938,730","13,722,011","151,602","192,977","258,423","377,404","538,557","685,370","716,412","719,361","721,594","621,561","518,343","431,390","320,159","241,397","190,644","466,176","7,151,370","151,488","186,687","227,290","335,814","491,666","660,580","676,592","632,232","634,000","539,257","454,361","384,089","302,943","228,245","192,843","472,554","6,570,641"
2005,Afghanistan,"5,068","5,602","6,401","7,505","8,765","9,382","9,224","8,488","7,307","5,952","4,781","3,857","2,694","1,133",453,688,"87,300","2,879","3,103","3,445","3,940","4,595","5,053","5,173","4,943","4,363","3,593","2,889","2,331","1,625",673,270,399,"49,274","2,189","2,499","2,956","3,565","4,170","4,329","4,051","3,545","2,944","2,359","1,892","1,526","1,069",460,183,289,"38,026"
2005,Bangladesh,"80,668","70,554","87,100","108,264","145,851","167,741","163,100","127,183","82,332","51,017","31,329","20,144","11,863","8,563","5,870","5,121","1,166,700","40,688","34,629","47,877","58,436","73,469","86,555","87,823","73,557","44,833","28,559","16,936","10,890","6,414","4,630","3,174","2,758","621,228","39,980","35,925","39,223","49,828","72,382","81,186","75,277","53,626","37,499","22,458","14,393","9,254","5,449","3,933","2,696","2,363","545,472"
2005,Bhutan,796,850,933,"1,816","11,357","7,057","4,743","4,196","2,780","2,168","1,263",767,553,376,270,354,"40,279",465,508,529,"1,279","10,435","5,428","4,113","3,523","2,272","1,693",953,549,356,256,176,207,"32,742",331,342,404,537,922,"1,629",630,673,508,475,310,218,197,120,94,147,"7,537"
2005,India,"32,937","105,675","116,488","210,948","309,396","444,779","447,789","462,507","610,779","569,763","489,273","423,470","359,203","284,697","262,060","793,878","5,923,642","16,597","53,869","61,431","110,662","159,616","215,092","218,072","242,259","326,821","307,030","262,291","223,535","182,373","144,544","129,429","392,072","3,045,693","16,340","51,806","55,057","100,286","149,780","229,687","229,717","220,248","283,958","262,733","226,982","199,935","176,830","140,153","132,631","401,806","2,877,949"
2005,Iran (Islamic Republic of),"141,409","144,183","182,602","232,711","303,157","342,110","323,131","272,000","194,493","133,130","91,668","80,120","57,688","35,257","14,102","21,169","2,568,930","68,358","72,313","94,940","125,682","168,574","193,615","184,131","153,888","107,672","72,150","49,603","44,353","32,717","21,161","8,464","12,698","1,410,319","73,051","71,870","87,662","107,029","134,583","148,495","139,000","118,112","86,821","60,980","42,065","35,767","24,971","14,096","5,638","8,471","1,158,611"
2005,Maldives,"2,821","2,558","2,505","2,449","3,713","5,038","5,447","5,153","4,461","3,315","2,478","1,760","1,297",818,470,762,"45,045","1,442","1,356","1,462","1,423","2,151","2,944","3,251","3,172","2,824","2,152","1,638","1,178",854,513,282,437,"27,079","1,379","1,202","1,043","1,026","1,562","2,094","2,196","1,981","1,637","1,163",840,582,443,305,188,325,"17,966"
2005,Nepal,"15,718","13,307","23,971","33,908","55,357","81,896","86,709","79,730","72,987","56,617","46,703","33,479","25,423","21,904","16,584","15,164","679,457","8,686","7,471","13,210","13,580","17,317","25,894","27,970","26,335","23,386","18,564","15,563","11,413","8,314","7,355","5,306","4,839","235,203","7,032","5,836","10,761","20,328","38,040","56,002","58,739","53,395","49,601","38,053","31,140","22,066","17,109","14,549","11,278","10,325","444,254"
2005,Pakistan,"22,669","35,936","64,769","114,805","191,905","287,105","351,631","390,542","377,993","335,556","301,054","247,130","159,455","112,320","79,834","98,428","3,171,132","11,973","19,217","35,046","62,060","102,094","150,435","185,360","210,884","208,231","186,076","166,140","134,405","84,662","59,637","41,338","50,956","1,708,514","10,696","16,719","29,723","52,745","89,811","136,670","166,271","179,658","169,762","149,480","134,914","112,725","74,793","52,683","38,496","47,472","1,462,618"
2005,Sri Lanka,"1,004",999,944,812,722,842,"1,230","1,794","2,462","3,300","4,155","4,752","4,926","4,574","3,844","3,166","39,526",514,511,483,342,306,354,519,800,"1,192","1,744","2,330","2,736","2,844","2,628","2,205","1,810","21,318",490,488,461,470,416,488,711,994,"1,270","1,556","1,825","2,016","2,082","1,946","1,639","1,356","18,208"
2005,South-Eastern Asia,"247,467","244,733","312,483","561,910","883,765","964,498","793,809","646,142","493,106","363,327","268,655","207,586","154,097","103,683","101,198","175,884","6,522,343","123,295","120,452","149,032","264,834","437,127","499,512","412,890","341,653","265,612","197,900","147,946","115,305","85,045","54,908","49,810","78,630","3,343,951","124,172","124,281","163,451","297,076","446,638","464,986","380,919","304,489","227,494","165,427","120,709","92,281","69,052","48,775","51,388","97,254","3,178,392"
2005,Brunei Darussalam,"5,913","4,913","4,733","4,883","7,199","9,380","10,647","12,866","11,414","9,020","6,530","4,477","2,521","1,836","1,025","1,084","98,441","2,991","2,557","2,375","2,527","3,702","5,139","6,111","7,725","7,175","5,360","3,628","2,487","1,360",954,595,579,"55,265","2,922","2,356","2,358","2,356","3,497","4,241","4,536","5,141","4,239","3,660","2,902","1,990","1,161",882,430,505,"43,176"
