Year,"Major area, region, country or area of destination",0-4,9-May,14-Oct, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total,0-4,9-May,14-Oct, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total,0-4,9-May,14-Oct, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
2017,Andorra,631,813,888,"1,252","1,936","2,392","2,798","3,320","4,239","4,386","4,137","3,830","2,924","2,451","1,659","3,383","41,039",313,407,446,625,978,"1,250","1,509","1,833","2,353","2,397","2,204","2,001","1,511","1,277",836,"1,620","21,560",318,406,442,627,958,"1,142","1,289","1,487","1,886","1,989","1,933","1,829","1,413","1,174",823,"1,763","19,479"
2017,Bosnia and Herzegovina,"1,839","1,796","1,638","1,713","2,509","3,546","3,918","3,815","3,558","3,081","2,499","1,995","1,616","1,324","1,087","1,166","37,100","1,017",987,894,899,"1,222","1,626","1,774","1,758","1,656","1,443","1,176",940,730,598,474,503,"17,697",822,809,744,814,"1,287","1,920","2,144","2,057","1,902","1,638","1,323","1,055",886,726,613,663,"19,403"
2017,Croatia,"2,549","6,262","9,791","16,845","29,535","35,354","38,073","44,392","48,888","51,983","54,040","51,505","45,347","36,965","34,446","54,508","560,483","1,332","3,092","4,991","8,552","14,986","17,000","18,399","21,634","23,331","24,249","24,761","23,687","20,678","15,911","15,069","21,602","259,274","1,217","3,170","4,800","8,293","14,549","18,354","19,674","22,758","25,557","27,734","29,279","27,818","24,669","21,054","19,377","32,906","301,209"
2017,Gibraltar,871,721,641,611,788,"1,062","1,206","1,164","1,031",862,695,557,411,247,125,160,"11,152",387,302,274,282,414,558,605,576,530,458,389,322,238,144,73,83,"5,635",484,419,367,329,374,504,601,588,501,404,306,235,173,103,52,77,"5,517"
2017,Greece,"14,637","18,044","21,785","36,401","70,114","104,068","129,508","143,081","153,520","141,958","112,667","86,491","64,897","45,176","29,349","48,699","1,220,395","7,387","9,222","11,614","18,980","36,023","50,679","61,073","68,491","72,370","63,850","46,799","33,862","26,559","18,432","12,070","18,386","555,797","7,250","8,822","10,171","17,421","34,091","53,389","68,435","74,590","81,150","78,108","65,868","52,629","38,338","26,744","17,279","30,313","664,598"
2017,Holy See,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,792,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,373,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,419
2017,Italy,"41,366","101,180","177,319","283,941","387,417","584,694","717,199","783,274","754,827","669,423","509,671","350,091","213,313","124,886","81,642","127,218","5,907,461","21,374","52,887","93,229","151,513","204,171","282,398","339,725","368,756","345,598","300,019","217,355","134,328","73,410","40,064","26,802","40,270","2,691,899","19,992","48,293","84,090","132,428","183,246","302,296","377,474","414,518","409,229","369,404","292,316","215,763","139,903","84,822","54,840","86,948","3,215,562"
2017,Malta,482,"1,233","1,098","1,538","3,546","5,657","5,434","4,862","4,739","4,197","3,207","2,413","1,874","1,952","1,469","1,838","45,539",280,608,560,913,"2,178","3,199","3,060","2,504","2,538","2,145","1,561","1,186",951,975,770,880,"24,308",202,625,538,625,"1,368","2,458","2,374","2,358","2,201","2,052","1,646","1,227",923,977,699,958,"21,231"
2017,Montenegro,"1,112","1,689","1,877","2,512","4,453","6,354","6,914","6,821","6,285","5,676","5,237","5,069","4,925","4,492","2,982","4,586","70,984",570,879,974,"1,250","2,011","2,588","2,600","2,509","2,339","2,188","2,045","1,936","1,759","1,562","1,016","1,587","27,813",542,810,903,"1,262","2,442","3,766","4,314","4,312","3,946","3,488","3,192","3,133","3,166","2,930","1,966","2,999","43,171"
2017,Portugal,"7,282","12,521","19,452","36,322","63,702","77,555","85,401","98,709","118,276","110,162","77,914","56,469","41,626","28,714","19,206","26,877","880,188","3,964","6,191","9,293","17,925","32,439","38,883","38,724","44,172","54,101","52,182","35,053","26,318","19,273","12,707","8,995","10,435","410,655","3,318","6,330","10,159","18,397","31,263","38,672","46,677","54,537","64,175","57,980","42,861","30,151","22,353","16,007","10,211","16,442","469,533"
2017,San Marino,162,170,189,261,410,563,666,700,650,530,375,232,123,72,50,90,"5,243",73,77,91,134,232,330,399,408,364,280,189,122,72,47,33,52,"2,903",89,93,98,127,178,233,267,292,286,250,186,110,51,25,17,38,"2,340"
2017,Serbia,"4,635","4,598","6,257","10,651","21,263","34,933","45,166","53,607","60,478","64,544","71,094","81,071","86,084","76,902","65,736","114,884","801,903","2,422","2,382","3,200","5,386","10,561","16,908","21,319","24,703","27,232","28,550","31,184","35,387","37,358","32,901","27,048","46,203","352,744","2,213","2,216","3,057","5,265","10,702","18,025","23,847","28,904","33,246","35,994","39,910","45,684","48,726","44,001","38,688","68,681","449,159"
2017,Slovenia,"1,977","4,214","5,145","6,223","9,547","15,640","19,802","21,131","21,228","21,972","24,877","26,363","23,121","16,122","10,827","16,601","244,790","1,061","2,238","2,729","3,381","4,919","9,039","12,080","13,072","12,859","12,633","14,024","14,809","13,093","8,632","5,725","7,826","138,120",916,"1,976","2,416","2,842","4,628","6,601","7,722","8,059","8,369","9,339","10,853","11,554","10,028","7,490","5,102","8,775","106,670"
2017,Spain,"39,475","97,387","194,678","316,834","393,769","513,879","670,278","789,637","739,215","639,557","484,991","334,086","233,483","184,647","132,758","182,432","5,947,106","20,535","49,833","97,239","164,353","193,278","231,815","306,670","388,415","375,961","324,217","238,779","160,913","108,802","85,026","62,661","83,649","2,892,146","18,940","47,554","97,439","152,481","200,491","282,064","363,608","401,222","363,254","315,340","246,212","173,173","124,681","99,621","70,097","98,783","3,054,960"
2017,TFYR Macedonia,"5,869","5,410","4,983","4,178","4,488","4,973","6,137","7,158","8,060","9,153","10,474","11,546","12,355","12,640","11,775","11,773","130,972","3,009","2,771","2,548","2,109","2,153","2,190","2,466","2,742","3,084","3,563","4,141","4,601","4,932","5,030","4,646","4,612","54,597","2,860","2,639","2,435","2,069","2,335","2,783","3,671","4,416","4,976","5,590","6,333","6,945","7,423","7,610","7,129","7,161","76,375"
2017,Western Europe,"316,293","545,931","615,270","812,342","1,484,966","2,329,849","2,714,367","2,796,500","2,734,200","2,601,293","2,459,640","2,179,756","1,847,713","1,532,203","1,107,902","1,791,260","27,869,485","165,751","283,440","313,664","421,985","727,169","1,102,427","1,294,842","1,360,134","1,363,654","1,327,123","1,232,435","1,054,179","919,379","774,338","560,648","771,662","13,672,830","150,542","262,491","301,606","390,357","757,797","1,227,422","1,419,525","1,436,366","1,370,546","1,274,170","1,227,205","1,125,577","928,334","757,865","547,254","1,019,598","14,196,655"
