Origin,Tot Immigrants
India,55416860
Mexico,48741010
Russian Federation,41589224
China,35527020
Bangladesh,27254648
Ukraine,22810405
Pakistan,20804187
Philippines,19509515
United Kingdom,18249798
Poland,15722094
Germany,15675807
Kazakhstan,15510433
Indonesia,14409168
State of Palestine,13926263
Romania,12371749
Turkey,11907495
Italy,11253294
Egypt,11125613
Morocco,10893820
United States of America,10874736
