Destination,Tot Immigrants
United States of America,172279941
Russian Federation,46150159
Germany,41109783
Saudi Arabia,36613601
United Kingdom,30591045
France,29413834
Canada,28199209
United Arab Emirates,26089184
Australia,24335432
Spain,22178135
India,21364389
Italy,21359413
Ukraine,18206701
Pakistan,14127752
Kazakhstan,13619531
Thailand,12460073
Jordan,11377638
Turkey,11304570
"China, Hong Kong SAR",10930150
Iran (Islamic Republic of),9741179
